,승차역,승차인원,하차인원
0,서울역,"4,465,118","4,205,563"
1,시청,"2,112,138","2,111,678"
2,종각,"3,473,040","3,308,910"
3,종로3가,"2,743,913","2,514,093"
4,종로5가,"2,384,121","2,374,374"
5,동대문,"1,318,783","1,267,900"
6,신설동,"1,511,569","1,491,525"
7,제기동,"1,975,371","2,025,679"
8,청량리(지하),"2,345,340","2,341,963"
9,동묘앞,"1,140,455","1,191,510"
10,시청,"2,280,253","2,167,330"
11,을지로입구,"3,922,308","3,950,645"
12,을지로3가,"2,138,926","2,095,586"
13,을지로4가,"1,322,668","1,308,607"
0,신당,"1,538,189","1,598,143"
1,상왕십리,"1,520,585","1,479,179"
2,왕십리,"1,765,050","1,471,461"
3,한양대,"773,258","819,678"
4,뚝섬,"2,297,211","2,440,072"
5,성수,"3,591,538","3,920,404"
6,건대입구,"3,881,056","4,095,360"
7,구의,"2,536,512","2,518,347"
8,강변,"3,383,972","3,334,947"
9,잠실나루,"1,475,595","1,443,834"
10,잠실,"7,341,052","7,203,855"
11,신천,"2,258,619","2,276,483"
12,종합운동장,"796,399","861,612"
13,삼성,"5,185,881","5,232,450"
0,역삼,"4,967,246","5,418,285"
1,강남,"8,877,553","8,686,313"
2,교대,"3,460,000","3,870,019"
3,서초,"2,222,948","2,146,842"
4,방배,"1,808,580","1,888,301"
5,사당,"3,990,527","4,357,778"
6,낙성대,"3,018,856","2,940,072"
7,서울대입구,"5,226,426","5,152,000"
8,봉천,"2,643,426","2,482,917"
9,신림,"6,999,750","6,822,295"
10,신대방,"2,930,069","2,867,256"
11,구로디지털단지,"6,443,623","6,454,892"
12,대림,"2,762,627","2,836,143"
13,신도림,"5,423,451","5,316,657"
0,영등포구청,"2,415,727","2,453,382"
1,당산,"2,021,870","2,314,797"
2,합정,"3,356,227","3,512,347"
3,홍대입구,"5,949,958","6,177,923"
4,신촌,"3,566,381","3,645,196"
5,이대,"1,317,884","1,374,876"
6,아현,"1,125,301","1,094,923"
7,충정로,"1,048,720","1,098,745"
8,용답,"314,692","315,495"
9,신답,"174,282","199,721"
10,신설동,"402,688","399,123"
11,도림천,"154,328","159,475"
12,양천구청,"735,418","782,083"
13,신정네거리,"1,118,107","1,158,783"
0,지축,"420,663","410,835"
1,구파발,"2,249,518","2,159,683"
2,연신내,"4,180,207","3,959,606"
3,불광,"1,823,824","1,983,043"
4,녹번,"1,597,229","1,464,829"
5,홍제,"1,917,882","1,842,396"
6,무악재,"433,954","444,544"
7,독립문,"787,094","826,682"
8,경복궁,"2,023,000","2,000,032"
9,안국,"2,004,963","2,101,291"
10,종로3가,"1,013,086","1,201,519"
11,을지로3가,"1,047,346","1,084,983"
12,충무로,0,0
13,동대입구,"824,805","884,726"
0,금호,"911,524","866,273"
1,옥수,"1,034,648","1,078,584"
2,압구정,"3,454,088","3,639,630"
3,신사,"3,386,513","3,489,867"
4,잠원,"522,899","518,269"
5,고속터미널,"4,848,520","4,701,653"
6,교대,"1,429,116","926,559"
7,남부터미널,"3,153,952","3,230,827"
8,양재,"3,986,756","4,287,004"
9,매봉,"1,284,246","1,229,690"
10,도곡,"584,457","594,869"
11,대치,"1,215,387","1,187,214"
12,학여울,"227,827","233,890"
13,대청,"1,033,498","958,434"
0,수서,"1,845,445","1,881,378"
1,가락시장,"984,093","964,582"
2,경찰병원,"797,433","803,421"
3,오금,"659,160","603,843"
4,당고개,"1,437,351","1,330,041"
5,상계,"2,118,416","1,980,063"
6,노원,"2,120,380","2,342,641"
7,창동,"2,876,013","3,053,803"
8,쌍문,"3,251,414","3,001,987"
9,수유,"3,791,893","3,768,271"
10,미아,"1,660,725","1,623,172"
11,미아삼거리,"3,077,506","2,998,779"
12,길음,"2,186,415","2,135,799"
13,성신여대입구,"2,226,241","2,136,991"
0,혜화,"3,385,540","3,393,924"
1,동대문,"2,120,057","2,185,752"
2,동대문역사문화공원,"1,600,646","1,479,910"
3,충무로,"2,650,121","2,722,939"
4,명동,"1,829,389","1,904,773"
5,회현,"2,461,329","2,582,319"
6,서울역,"1,090,071","1,600,392"
7,숙대입구,"1,379,206","1,352,904"
8,삼각지,"506,848","571,126"
9,신용산,"1,623,544","1,701,474"
10,이촌,"793,613","892,275"
11,동작,"349,969","388,614"
12,총신대입구,"2,092,469","2,277,069"
13,사당,"2,679,235","2,294,615"
